0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0.7176,0.0763,0.0992,0.0232,0.3445,0.354,5.5267,-0.2977,-0.1374,0.0618,0.3972,0.3506,2.5038,6.3053,9.3817,0.0369,1.0073,-0.5339,-21.8244,21.5267,12.0076,-0.0696,0.0737,-0.228,-15.3435,20.8092,-0.4962,-0.2161,-0.676,0.3884,2.2901,17.4351,-12.855,-0.3394,-0.8159,0.7903,17.1374,2.8855,-31.8015,-0.5916,-0.7336,1.1213,38.7863,-8.5115,-30.0382,-1.1665,0.6584,0.7717,25.916,-22.0458,-1.2824,-1.1331,1.7507,0.2275,5.2519,-15.3282,16.9084,-0.3296,1.3904,-0.7942,-15.6031,-1.9008,28.3359,-0.3196,0.8086,-0.6265,-21.6947,4.374,27.1679,-0.3052,-0.0273,-0.0549,-15.2901,-1.0611,14.3969,-0.0803,-0.6772,0.5562,1.0,-2.3969,3.9924,0.2222,-0.4346,0.3606,4.3893,0.6031,-4.0916,0.0686,0.0664,0.3953,-0.3588,-2.4504,-1.1374,0.0046,0.343,0.4128,1.2061,0.0458,-1.374,0.0908,0.2542,0.3936
-0.3053,-0.0611,0.0076,0.0354,0.3157,0.3599,-0.6031,-0.1756,-0.0611,0.0593,0.3044,0.3325,0.5725,0.4275,0.0458,0.0483,0.3171,0.3713,1.3282,0.0,-0.1221,0.064,0.3281,0.3716,10.7176,-0.687,0.5115,0.022,0.4785,0.23,-5.1069,8.4733,10.5878,0.1514,1.0073,-0.6345,-19.687,28.771,16.1527,-0.0491,0.2158,-0.5515,-29.0534,36.8931,6.2519,-0.5103,-0.8945,0.2229,5.8092,25.9313,-10.1832,-0.7693,-1.165,0.9937,29.4046,6.084,-26.1374,-0.8052,-0.8689,1.0513,53.9237,-16.2595,-28.2672,-1.5999,0.5334,0.7432,38.6183,-29.1832,0.7939,-1.1843,1.8855,-0.2551,11.1756,-24.7786,19.4962,-0.4685,1.3164,-0.7878,-12.9771,-11.6183,30.3053,-0.2571,0.7759,-0.8911,-28.9924,5.6641,32.3817,-0.3105,0.1533,-0.5139,-22.6718,2.8626,17.8015,-0.0786,-1.0317,0.6011,3.0305,-0.0992,0.6336,0.2095,-0.4219,0.5444
0.6183,-0.5573,-0.3359,0.0828,0.3682,0.2974,-1.5954,0.6107,-0.1679,0.0862,0.4326,0.2798,-0.7557,0.5267,-0.1221,0.0554,0.3284,0.3533,0.5573,0.3359,0.1145,0.0911,0.3503,0.354,3.3893,-1.4275,-0.1756,0.0962,0.355,0.3743,8.8626,-3.9008,1.8931,0.1165,0.5183,0.0669,-3.2824,6.687,8.2977,0.3755,0.6738,-0.689,-10.374,40.4504,9.4809,0.1602,-0.0576,-0.7468,-8.5954,53.4656,-0.5802,-0.7878,-0.5696,0.1018,2.5496,42.9084,-6.9924,-1.3855,-0.0142,0.7834,22.6565,12.0229,-14.8168,-1.2422,-0.2166,0.8135,36.3893,-14.313,-12.855,-1.3181,0.259,0.7178,25.8702,-32.8244,-13.7481,-0.9514,0.8088,0.1047,8.8244,-38.1603,-0.4046,-0.656,1.5659,-0.5103,-7.5038,-27.916,16.3817,-0.3267,1.0596,-0.4978,-13.6336,-14.8397,23.9771,-0.1653,0.4087,-0.3774,-18.1069,-8.0382,17.2519,-0.085,-0.1116,-0.032
2.7023,-2.9466,0.5191,0.062,0.2183,0.5049,12.3817,-1.0305,4.1145,0.1443,0.4204,0.2625,4.9771,0.7481,5.8702,0.144,0.8059,-0.1389,-16.1832,14.1832,13.7634,0.1301,0.6082,-0.4319,-28.5191,23.0382,16.8702,-0.2363,-0.0466,-0.1924,-31.855,27.7557,5.5802,-0.3323,-0.6206,0.0261,-14.4122,29.9618,8.4656,-0.5898,-0.9426,0.3364,21.3435,23.9313,-10.0229,-0.5571,-1.1609,0.5115,36.1298,17.2824,-25.0916,-1.1277,-0.657,0.7664,41.6947,-7.1985,-23.6031,-1.5046,0.2769,0.8889,51.229,-21.8092,-1.2901,-1.0862,0.8125,0.3557,26.1374,-32.2595,7.6107,-0.5667,0.8708,-0.1938,7.7634,-21.6412,15.6947,-0.1848,0.8423,-0.3989,-5.7252,-10.7481,20.9924,-0.0334,0.5676,-0.3445,-14.9084,-1.7405,21.5115,0.0605,0.1248,-0.208,-12.542,8.4656,16.5267,0.1157,-0.1528,0.116,-7.2443,0.771,4.7405,-0.0378,-0.2725,0.5295
0.3664,-0.9084,-1.0534,0.2112,0.2507,0.3601,0.0687,0.4427,-0.2137,0.2488,0.3086,0.3267,0.229,-1.0229,0.4427,0.2063,0.2449,0.3813,5.3359,-1.4504,0.5496,0.2373,0.2678,0.2417,6.2443,8.6412,12.5878,0.7188,1.0093,-1.2344,-35.2214,87.2595,14.626,-0.0737,-0.2891,2.0,-4.8779,82.4122,-11.0153,2.0,2.0,-0.0481,15.9313,39.8015,-21.6947,-1.8723,-1.2354,0.6367,51.0153,11.5573,-18.6489,2.0,-0.4631,0.7161,43.8702,-13.6794,-13.1908,-1.4968,0.3618,0.3184,42.8244,-36.7786,3.9237,-1.0066,0.905,0.002,25.084,-33.4198,19.7023,-0.4817,0.7107,-0.2329,12.4656,-24.7786,31.0763,-0.3315,0.5378,-0.1453,-0.7328,-12.4504,30.4733,-0.2537,0.4343,-0.1865,-10.8397,2.9847,34.0,-0.1912,0.2163,0.0525,-8.6412,-3.6031,19.0992,-0.1016,-0.1772,0.2517,1.2061,-2.0687,16.1069,0.0818,-0.1162,0.3271
0.7634,0.7099,-0.0458,0.0498,0.2498,0.4375,-0.2137,0.4809,-0.2443,0.0837,0.2537,0.3982,0.0305,0.5115,-0.4122,0.0574,0.2271,0.4424,2.4962,-0.5802,-0.6718,0.105,0.293,0.4214,6.1679,-0.7176,2.6183,0.0498,0.5007,0.208,-6.7939,6.2366,11.1374,0.0835,0.8306,-0.2468,-25.9084,15.771,17.9466,-0.0813,0.2788,-0.1399,-24.1908,17.2519,11.9847,-0.1814,-0.5459,0.0896,-3.9389,29.2214,4.0229,-0.1211,-0.76,0.0845,6.0382,29.3053,-4.2137,-0.4651,-1.0266,0.5859,24.9847,21.9084,-25.2519,-1.0422,-0.4187,0.8914,32.9847,-5.5573,-22.8015,-1.3796,0.1765,0.9995,18.145,-20.7939,-16.1145,-0.9336,0.6743,0.6899,23.5267,-28.6336,-4.6565,-0.6487,0.7529,0.1079,14.1603,-21.7939,13.145,-0.3462,0.884,-0.0542,-4.3206,-15.6565,19.626,-0.1423,0.6882,-0.3547,-22.9466,-6.8168,24.0763,-0.0195,0.1934,-0.251
-0.2519,-0.4046,-0.3053,0.0364,0.1348,0.459,0.374,0.374,0.0153,0.0742,0.1877,0.4282,-0.0153,0.2901,-0.0229,0.0083,0.1833,0.4661,0.1298,-0.9008,0.2137,0.0286,0.1733,0.4453,1.6641,-0.5649,-0.0305,0.0642,0.1609,0.4568,8.6794,-0.5038,1.771,0.0486,0.3516,0.3674,0.7557,-3.7023,9.2214,-0.0068,0.8872,0.0181,-20.6031,7.7099,21.1145,0.0071,0.6096,-0.3247,-31.7939,16.4046,23.2901,-0.2986,-0.4961,0.0435,-13.4351,24.0076,13.084,-0.1155,-0.6536,0.01,4.7863,30.855,6.6183,-0.3586,-1.001,0.2043,21.4275,32.1145,-12.9084,-0.7002,-0.8643,0.4368,43.4198,24.5267,-18.3817,-1.2515,-0.0955,0.6946,41.2977,5.6489,-12.7252,-1.4583,0.6675,0.7461,27.5344,-23.7634,3.6183,-1.0916,0.78,0.3806,18.7863,-29.8015,12.7939,-0.668,0.5493,0.0735,8.542,-30.7863,18.4962,-0.2986,0.615,-0.282
0.0916,-0.0611,0.1298,-0.0527,0.2029,0.4316,0.3053,0.3588,0.3511,-0.0464,0.2156,0.4163,0.0305,0.1069,0.2595,-0.0613,0.208,0.4155,0.3511,0.6489,0.5878,-0.0378,0.198,0.4224,0.3511,0.2748,0.2595,-0.0471,0.165,0.4954,1.7099,-0.6641,0.3511,0.0532,0.2065,0.7151,14.6107,-9.771,1.9313,-0.1724,0.5366,1.1072,3.0458,-0.626,6.687,0.3269,1.2869,-0.7673,-27.9084,15.4504,28.0382,-0.1477,0.6394,-1.1484,-39.8397,29.4046,10.8015,-0.5054,-1.2456,-0.4846,3.9313,29.1908,-2.5191,-0.3149,-1.7749,0.2705,34.5725,22.8855,-20.4809,-0.679,-1.189,0.427,37.313,5.1298,-30.2977,-1.9368,0.447,0.7549,32.1527,-18.1756,-11.9389,-1.5183,1.0398,0.7791,28.4046,-28.145,8.458,-0.9133,1.3203,0.0879,3.0076,-25.8168,17.4046,-0.3098,0.9951,-0.2932,-7.0611,-12.1756,21.5649,-0.1025,0.5264,-0.3279
-1.6031,0.9313,-0.2824,-0.012,0.1943,0.4312,-3.6489,-1.3511,-2.1527,-0.0405,0.1899,0.467,0.5954,1.1756,1.313,0.042,0.1936,0.4202,7.374,-0.5649,4.4809,-0.0637,0.3967,0.4233,5.3969,-0.2214,11.0763,-0.0291,0.7595,-0.0576,-11.8702,11.2519,23.6641,0.084,0.5249,-0.3987,-33.7939,25.8931,12.916,-0.2034,-0.4944,-0.2119,-9.687,35.4885,9.5954,-0.2527,-1.1316,0.0828,14.6641,30.4351,-15.374,-0.6624,-1.4172,0.439,38.855,18.7176,-30.2672,-1.5942,-0.7129,0.8076,48.374,-6.1603,-11.7176,-1.9058,1.0151,0.6345,36.2595,-31.2595,4.6565,-1.1753,1.1055,0.0923,12.3664,-33.0382,12.7863,-0.4658,1.1379,-0.4209,-12.3282,-23.771,14.0229,-0.1643,1.1113,-0.5349,-26.8321,-7.916,27.5038,-0.2175,0.4285,-0.5369,-29.8397,-1.771,18.916,-0.041,-0.7026,-0.0278,-2.1527,1.3053,6.8473,0.1458,-0.8672,0.4614
3.145,-0.5802,0.4198,0.0273,0.1929,0.4653,2.8015,-2.2595,0.8855,-0.0579,0.2419,0.4324,-0.6031,0.1374,3.145,0.0601,0.2554,0.3577,-0.4962,-0.2519,3.1908,-0.0022,0.0801,0.4724,0.0382,0.1145,1.8931,0.0239,0.2029,0.4053,-3.229,0.771,6.2595,0.0405,0.8865,-0.1267,-15.7252,18.3435,16.9389,0.1233,0.3853,-0.4861,-27.542,29.0534,14.4351,-0.2288,-0.6831,-0.0935,-3.7786,30.4427,0.6412,-0.4211,-1.541,0.467,21.1908,26.0153,-17.4962,-0.7554,-1.0156,0.5554,33.9389,18.0,-22.4427,-1.3101,-0.3457,0.5906,41.458,-1.6718,-11.8855,-1.2551,0.2871,0.4446,34.3664,-22.2366,3.0305,-1.0496,0.7776,0.1587,14.2137,-30.8397,9.1985,-0.7422,1.0916,-0.1172,-3.1298,-19.9695,23.7786,-0.166,1.0229,-0.6309,-17.5573,-5.6718,29.6107,-0.1821,0.4902,-0.3459,-22.3893,2.855,22.0687,0.0876,-0.5527,0.022
