0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
-0.084,0.687,0.2443,0.0867,0.4192,0.2385,-0.0153,0.3588,0.1221,0.0828,0.4214,0.2363,-0.229,1.3511,-0.0076,0.0854,0.4358,0.2354,0.0992,-0.1756,0.3969,0.0308,0.4434,0.3022,-1.9008,-0.6794,5.5191,-0.5225,0.7861,0.7173,4.7328,-21.3206,12.855,-0.8411,0.4563,0.8115,0.1603,-37.916,3.9008,-0.2837,-0.2168,-0.1462,5.458,-26.2977,-9.8931,0.2449,-0.116,-0.6462,5.4504,-19.9542,-19.4809,0.1575,0.0994,-0.4492,10.8855,-12.2519,-21.2595,0.3684,0.1946,-0.6182,12.2366,1.6947,-23.8473,0.3474,0.5818,-0.771,11.7252,13.8855,-21.8702,0.3025,0.8,-0.8765,2.7252,25.5573,-17.626,0.0508,0.9192,-0.7595,-6.3435,32.3435,-13.4809,-0.4216,1.0122,-0.5042,-11.6107,30.687,-1.229,-0.6665,1.1362,-0.2971,-19.2595,19.3282,8.9313,-0.9175,0.9441,0.0364,-20.6489,3.0992,15.2366,-0.7332,0.532,0.0696
0.6336,1.0153,0.4046,0.1423,0.4421,0.1904,-0.313,0.6565,0.1527,0.1482,0.4192,0.1975,-0.4427,1.0763,0.9466,0.1846,0.4646,0.1897,0.2214,0.6412,0.2901,0.084,0.4756,0.2249,1.2443,1.9389,2.1908,0.1165,0.4968,0.271,-3.9466,-13.8931,7.313,-0.7234,0.9053,0.833,-3.9924,-24.458,9.4885,-0.3967,0.1006,0.1919,-9.7328,-28.7634,-10.3817,0.0249,-0.335,-0.2058,12.5344,-20.5496,-16.6794,0.1592,-0.2339,-0.4119,9.8015,-13.0305,-20.229,0.3835,0.1194,-0.6384,15.5344,-1.7634,-29.2977,0.5874,0.3613,-1.0083,14.8321,19.0687,-26.0992,0.1877,0.9546,-0.844,1.2214,31.8244,-23.6183,0.0625,1.0676,-0.7776,-12.2901,31.0382,-12.7099,-0.4492,1.2305,-0.4321,-14.8779,24.1221,4.6718,-0.8208,1.03,-0.0222,-18.916,13.0382,10.7252,-0.7307,0.8174,0.0474,-17.5115,0.0916,13.0916,-0.6108,0.4751,0.095
-0.7481,0.0382,-0.1832,0.1196,0.4771,0.1118,-0.4122,-0.7939,-0.3664,0.1467,0.4639,0.0493,-1.0763,-0.0076,-0.0153,0.093,0.542,0.1516,-2.0534,-4.9771,1.6107,0.0056,0.5818,0.2061,-2.7481,-11.5496,1.5496,-0.2329,0.3274,0.3601,-0.6718,-15.7176,-2.4962,-0.2292,0.2134,0.2253,4.7328,-25.8168,-6.084,-0.2468,-0.1985,-0.0388,9.6794,-30.3588,-16.1603,-0.0271,-0.1414,-0.4939,23.3435,-11.7786,-25.1374,0.583,-0.0127,-1.4458,13.458,18.0458,-28.4962,0.3394,0.812,-1.4268,7.7099,33.8473,-24.5267,-0.053,0.9436,-1.0996,-3.916,41.2214,-15.7176,-0.6873,1.2769,-0.7744,-20.8092,32.1603,-2.6031,-0.8613,1.3015,-0.6377,-28.7863,10.2519,8.7405,-0.9241,0.667,-0.0884,-20.7023,0.5115,15.0382,-0.552,0.3169,-0.0361,-18.1374,-7.8931,11.0305,-0.2693,0.1299,-0.0623,-12.5115,-9.5573,6.7557,-0.0137,0.1343,-0.0549
-3.3511,3.2214,0.3664,0.1426,0.4053,0.0696,-1.7176,-0.374,-0.2977,0.1892,0.4167,0.0837,-0.542,1.771,-0.084,0.1997,0.4336,0.0503,-0.3893,0.5267,0.1145,0.2122,0.4912,0.0342,-5.6489,1.7328,1.458,0.0332,0.6804,0.3193,-25.6794,-10.855,1.4046,-0.0693,0.5181,0.5391,-20.4275,-33.3511,-25.6794,-0.3159,-0.7351,0.6392,0.4504,-34.9389,-44.7634,-0.3228,-0.2632,-0.4473,29.3511,-4.2443,-68.8168,-0.5957,-0.0671,-1.395,2.3588,28.6641,-47.1832,-0.5474,1.5122,-1.2703,-22.1374,34.0076,-20.6412,-0.8743,0.6948,-0.7146,-3.5267,52.4198,7.145,-0.9338,1.1006,-1.0115,-24.9542,37.9542,11.1756,-1.3718,0.7639,-0.271,-34.0763,12.2748,19.5038,-0.8899,0.6377,-0.064,-26.4733,-2.0076,21.7786,-0.6602,0.1985,0.1223,-12.9847,-12.626,27.4885,-0.3926,0.1433,0.0574,-17.0305,-13.229,13.7252,-0.0332,-0.0256,-0.0869
4.7099,33.4046,-22.3817,-0.5232,0.501,-0.6245,-18.2748,30.7939,-7.4198,-1.0012,1.304,-0.2524,-16.6412,17.7481,16.1298,-1.3682,0.6177,0.5483,-20.9847,-0.2443,21.2214,-1.4893,0.4592,0.4624,-30.9771,-12.4122,17.8397,-1.3823,-0.053,0.314,-24.1756,-21.5115,15.9618,-1.2217,-0.5933,0.3469,-14.0153,-27.0153,7.5038,-0.6399,-0.8137,0.2705,-1.3435,-20.7634,-2.7481,-0.3083,-0.6038,0.0842,5.0916,-14.9237,-8.4504,-0.1377,-0.3347,0.0081,4.0534,-6.4885,-13.4046,0.0203,-0.1587,0.0925,7.5038,-3.1832,-9.626,-0.0637,-0.05,0.2266,5.1298,-2.3664,-11.2366,-0.0171,0.0327,0.1963,5.084,0.7863,-6.1832,-0.0701,0.2368,0.2832,1.9695,0.7328,-5.2748,-0.1289,0.2729,0.3606,1.3893,1.1145,0.3053,-0.1768,0.2544,0.4805,-1.9542,1.8931,1.4809,-0.1763,0.1768,0.5356,-1.1069,-0.2977,0.9771,-0.1855,0.1372,0.509
4.7557,27.9924,-20.2901,-0.0205,0.2236,-0.426,-15.2748,42.1832,-13.9237,-0.7144,0.9702,-0.4326,-19.855,21.3282,1.1908,-1.051,0.7026,0.1824,-16.2901,15.626,20.6794,-1.4736,0.2231,0.5806,-22.4122,-4.4656,17.9542,-1.5767,-0.0732,0.6331,-19.0382,-22.3435,18.4885,-1.5376,-0.4539,0.5813,-14.2595,-32.0916,14.6489,-1.0046,-0.574,0.1821,-8.2443,-30.8702,6.8244,-0.5154,-0.7129,0.1042,2.8855,-19.5878,-5.7405,0.022,-0.6848,-0.0498,6.374,-6.4427,-8.3206,0.0564,-0.2314,-0.04,0.3893,-4.5802,-16.5115,0.0413,-0.1802,0.0864,4.855,-0.084,-11.1069,0.0435,0.0195,0.1448,7.3664,2.6412,-7.084,-0.0813,0.2073,0.3247,2.4198,0.6565,-3.458,-0.2,0.3354,0.4482,0.7863,1.542,-1.6794,-0.1245,0.1587,0.4727,-0.1374,2.4275,-0.6183,-0.1304,0.0708,0.5171,0.4427,-0.2366,1.1985,-0.21,0.0442,0.5449
9.4046,0.5038,-14.4351,0.248,-0.7781,0.0137,8.229,23.6565,-28.7328,0.4529,-0.075,-0.8699,-5.0382,49.0534,-17.7786,-0.6892,0.854,-0.6255,-15.9618,23.0305,-0.229,-1.3577,1.1724,0.2317,-19.6412,15.4198,13.7786,-1.5269,0.5466,0.5037,-26.7634,1.542,20.2977,-1.605,-0.0627,0.5581,-22.9771,-21.6565,20.9313,-1.6187,-0.437,0.5076,-15.9924,-31.4809,13.8931,-1.0823,-0.7869,0.2886,-8.9389,-31.3206,3.4122,-0.4429,-0.7336,0.0532,-0.5115,-18.0687,-7.9695,-0.0276,-0.5559,-0.083,3.2137,-8.1985,-9.5344,0.0125,-0.2969,0.0342,1.0992,-2.9313,-17.1908,0.0918,-0.1575,0.0823,4.687,-1.2977,-14.3893,0.0425,-0.0942,0.1997,8.4733,4.084,-7.1832,-0.1023,0.189,0.314,4.7557,2.2137,-7.8931,-0.2058,0.2192,0.4458,3.4351,3.3206,-0.9237,-0.2256,0.2559,0.5195,-0.8244,0.4427,-1.0382,-0.1863,0.1521,0.5227
8.687,24.6336,-22.8626,0.0542,0.1497,-0.6938,-17.6336,32.0992,-14.9389,-0.8958,1.0054,-0.2256,-22.1603,27.3511,5.5496,-1.1052,1.1804,0.2568,-22.0992,10.1603,17.8244,-1.3513,0.4817,0.6709,-22.1756,-2.5267,21.0763,-1.4202,-0.0771,0.6499,-18.6336,-16.9084,21.0153,-1.3096,-0.4197,0.4775,-16.2061,-26.1603,13.3206,-1.0613,-0.6409,0.3132,-6.7328,-26.229,5.9084,-0.5293,-0.7537,0.1763,-1.1221,-17.7405,-3.0382,-0.1987,-0.5161,0.1248,0.8702,-10.1756,-12.4198,-0.0669,-0.3538,0.1084,4.4122,-9.0916,-12.5496,-0.0662,-0.2432,0.1201,4.6641,-1.8779,-12.313,-0.0066,-0.1587,0.1577,3.3511,-1.1145,-14.0534,-0.0608,0.0151,0.2756,5.2443,4.3588,-8.9618,-0.0342,0.0525,0.2871,3.1221,2.1603,-7.084,-0.1567,0.1462,0.438,4.2901,3.0458,-3.2061,-0.1619,0.2065,0.5078,-1.084,0.2977,-3.2366,-0.1836,0.2554,0.48
11.5191,16.1985,-17.9695,0.125,-0.0776,-0.343,3.4656,29.3817,-18.4351,-0.364,0.4448,-0.3379,-5.0305,24.2748,-6.3664,-0.8601,0.7766,0.1279,-11.2748,19.3817,4.7939,-1.1021,0.6394,0.4224,-24.7328,15.6565,9.2977,-0.9929,0.4817,0.1968,-24.9084,-0.4656,14.3435,-1.3938,0.0164,0.4695,-17.8473,-14.6565,19.4351,-1.5098,-0.3516,0.5039,-17.6565,-28.8244,14.7405,-1.0833,-0.5005,0.2136,-10.8855,-30.0153,8.313,-0.6177,-0.6658,0.1599,-5.7786,-22.9389,-5.0611,-0.1331,-0.6504,0.0042,6.0076,-10.7939,-10.6794,-0.0303,-0.4375,0.0593,12.6031,-5.5344,-19.4962,0.0178,-0.2812,0.1326,19.374,-4.084,-9.6183,-0.1045,0.0747,0.1746,8.0305,-2.1603,-8.1221,-0.0044,0.2292,0.1475,1.8168,-2.7939,-10.2519,-0.0459,0.2371,0.2249,-1.4351,0.9542,-4.8168,-0.0498,0.2815,0.3376,0.4122,3.6565,-3.5573,-0.1038,0.1753,0.4866
-1.374,-1.1908,0.5344,-0.0898,-0.0271,0.4749,-0.6718,-1.0305,-0.771,-0.062,-0.146,0.5122,3.6489,0.4198,0.6412,-0.0562,-0.3123,0.5735,11.0534,-7.9618,-12.3817,0.2705,-0.7566,0.0383,8.1145,14.8931,-26.1908,0.3704,-0.2095,-0.6384,-4.2061,34.7863,-27.6412,-0.3706,0.1609,-0.4387,-17.855,28.5115,-27.7023,-1.0725,0.9766,-0.1772,-23.0076,22.1221,-0.7786,-1.4348,0.8745,0.384,-30.4427,3.1603,9.8626,-1.7095,0.3748,0.4087,-25.5725,-11.5802,24.2366,-1.48,-0.595,0.3835,-21.9695,-27.3969,20.4046,-1.2271,-0.8018,0.2793,-17.542,-33.5115,15.5115,-0.6433,-0.8655,0.0342,-3.1221,-28.3053,6.4504,-0.3376,-0.6294,0.1128,7.1221,-21.8092,-0.2824,-0.1196,-0.6218,-0.0066,2.2137,-12.2137,-10.0305,0.0581,-0.2222,0.0706,2.3053,-4.458,-17.3511,0.113,-0.2295,0.127,11.4351,5.1527,-11.084,-0.0271,-0.0637,0.2454
