0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1.9466,0.0611,0.0611,-0.0195,0.4956,-0.054,0.084,0.0458,0.0611,-0.0188,0.4885,-0.0662,0.0153,0.1679,-0.0305,-0.0208,0.4993,-0.0583,0.1527,0.229,-0.1527,-0.019,0.4861,-0.0396,1.5267,0.4351,0.8931,-0.1609,0.6182,0.1223,0.4885,-13.1832,5.2443,-0.3716,0.5815,0.2532,6.6489,-16.6183,6.9466,-0.3555,0.4148,0.1582,2.3664,-24.3893,5.7863,-0.2817,0.4641,-0.1204,4.5878,-26.1603,3.8702,-0.2466,0.375,-0.2234,5.1603,-33.0229,-1.2366,-0.2744,0.3369,-0.3521,11.1298,-24.9618,2.3588,-0.0618,0.3516,-0.4402,4.084,-16.2672,0.7405,0.0896,0.3848,-0.5803,3.8015,-7.1145,-1.4809,0.0032,0.4192,-0.3838,1.7481,-1.4122,-1.3588,0.0188,0.4968,-0.3962,0.3588,0.5725,-0.8473,0.0173,0.5247,-0.3481,-0.8702,2.0534,-0.1145,0.0083,0.5103,-0.3433,-1.9466,4.1527,-0.1527,0.0151,0.45,-0.3113
0.0458,0.1221,0.1832,-0.0645,0.5046,-0.0676,-0.0992,0.0992,0.1221,-0.0647,0.4915,-0.0496,-0.0763,0.2519,0.2061,-0.0676,0.4917,-0.062,2.0305,1.6489,1.542,-0.125,0.5676,0.0574,1.374,-7.2214,4.7405,-0.4343,0.6021,0.3545,7.0992,-9.4122,7.7634,-0.2839,0.4583,0.1128,4.1298,-16.3359,7.7786,-0.4011,0.4851,0.0759,0.4656,-23.1069,6.7099,-0.3604,0.4878,-0.1611,1.1985,-23.7328,5.771,-0.2727,0.3904,-0.2908,4.2977,-25.8626,6.9008,-0.2805,0.4253,-0.4011,2.5725,-29.0992,6.5496,-0.1167,0.2195,-0.4597,6.916,-23.1374,3.4962,0.075,0.2888,-0.6108,4.3359,-12.2748,1.3053,0.2112,0.3855,-0.5979,-0.0763,-2.8321,-1.6565,0.1714,0.4722,-0.3921,0.2137,1.1756,-2.9542,0.0891,0.4946,-0.2666,0.0382,0.7634,0.0229,-0.0132,0.5608,-0.2283,-0.771,0.9466,0.3206,0.0237,0.4944,-0.238
1.1603,-1.1527,0.5954,-0.0518,0.512,-0.1111,0.4809,-0.8244,0.1679,-0.0242,0.4729,-0.1538,0.4275,0.1756,0.1908,-0.0312,0.5117,-0.147,0.0611,0.2977,-0.0382,-0.0308,0.4861,-0.1309,0.2977,0.771,-0.3969,-0.041,0.4785,-0.1167,2.0229,1.542,-0.0305,-0.1201,0.5425,0.0239,1.687,-6.3588,4.9542,-0.3953,0.7246,0.2854,4.4275,-11.3435,8.2748,-0.2529,0.5549,0.0535,4.3359,-12.4656,8.7557,-0.2556,0.5742,-0.0527,1.4809,-17.3359,7.6641,-0.2754,0.4609,-0.1589,-0.6183,-20.6794,9.2137,-0.2346,0.4785,-0.3376,-3.0,-23.7481,8.374,-0.1414,0.2905,-0.3877,-2.5115,-22.3282,3.2443,-0.001,0.2427,-0.342,-0.2824,-18.855,1.7099,0.104,0.2903,-0.4714,7.5878,-6.8015,1.374,0.1711,0.3816,-0.4941,2.6183,-2.8244,0.458,0.0984,0.4709,-0.3906,-0.3206,-0.3282,-1.6107,0.1018,0.4639,-0.3184
0.0687,0.8168,-0.4656,-0.0481,0.4822,-0.1445,0.0305,0.7634,-0.1756,-0.0693,0.4897,-0.1104,-0.1298,0.2519,-0.2901,-0.0935,0.5032,-0.1099,-0.2824,0.5878,-0.1603,-0.0659,0.4929,-0.1262,0.229,0.3053,-0.2595,-0.0637,0.4531,-0.1133,-0.0534,1.2366,-0.4885,-0.0579,0.468,-0.1082,1.4809,0.9237,-2.0916,-0.2498,0.5444,0.0442,3.0,-4.7176,7.374,-0.4299,0.6187,0.2034,6.9084,-16.5878,11.8321,-0.583,0.5437,0.2256,0.3435,-29.3511,12.5954,-0.4839,0.4653,-0.1462,2.0992,-31.626,11.4656,-0.3193,0.2915,-0.282,8.2061,-31.916,8.0458,-0.2446,0.2231,-0.4106,9.4504,-39.7099,5.7481,-0.2324,0.106,-0.4556,10.8931,-18.8855,4.7405,0.1377,0.3076,-0.7705,4.7863,-11.2977,0.0229,0.0378,0.3994,-0.6528,1.3435,-3.771,-0.2519,0.0623,0.3701,-0.6382,-1.5878,4.9389,-0.3511,0.0708,0.4053,-0.5779
-0.4885,1.5649,0.5038,-0.0847,0.4771,-0.3,-1.4809,0.2214,1.3206,-0.1433,0.5017,-0.2488,-3.6794,-1.0382,1.1679,-0.1541,0.4578,-0.2488,-4.7328,-0.9924,-0.7481,-0.0415,0.4575,-0.2686,-2.6107,2.687,-2.458,-0.0562,0.4231,-0.1633,-4.6031,3.3511,-0.8015,-0.0771,0.5,-0.189,0.313,7.1527,0.3588,-0.2151,0.4836,-0.1108,-1.5725,-2.1603,5.687,-0.53,0.5527,0.0615,-0.229,-15.9618,14.1985,-0.6526,0.5696,-0.0249,3.3053,-25.6794,20.1985,-0.6445,0.3794,-0.0508,8.5954,-30.4885,25.0,-0.4116,0.1689,-0.3154,11.2519,-34.9084,28.4656,-0.4441,0.1035,-0.3691,8.1527,-33.5191,25.5878,0.0244,0.052,-0.7427,2.6107,-32.7176,21.7099,0.1765,0.0127,-0.8013,-0.8092,-15.4351,10.3282,0.5889,-0.0781,-1.0227,-3.8321,3.3359,-4.0687,0.5654,0.0078,-0.9368,-6.2672,17.3511,-14.229,0.2913,0.0793,-0.834
-0.1832,0.7481,0.0,-0.0378,0.4819,-0.1526,-1.1298,2.1145,-1.3588,-0.0505,0.4666,-0.1257,-0.7939,3.6641,-2.0687,-0.1038,0.48,-0.1165,-2.0458,9.7176,-4.6336,-0.1467,0.4949,-0.1294,2.3511,11.6336,0.4809,-0.4072,0.4805,0.0833,-0.7405,-2.0076,-1.8015,-0.4485,0.5415,0.0735,4.0382,-15.7176,7.6107,-0.4207,0.4587,0.0403,6.6183,-31.4351,10.8244,-0.3657,0.4419,-0.1218,13.6565,-40.5191,14.5802,-0.3464,0.175,-0.3611,10.4275,-40.9847,14.687,-0.2175,0.3237,-0.6663,12.9389,-23.6031,12.229,-0.0693,0.1274,-0.5972,13.8244,-15.0916,9.771,0.0967,0.2524,-0.6934,2.1145,-6.542,3.5496,0.2798,0.2742,-0.7422,-3.4809,3.4885,-2.9008,0.1765,0.3459,-0.6182,-4.4809,7.0153,-2.3588,0.0327,0.4146,-0.4597,-5.3511,9.1069,-4.8397,0.123,0.344,-0.5374,-5.4962,13.9542,-2.6794,0.0156,0.3638,-0.4565
0.5191,-0.2137,0.458,-0.1011,0.4822,-0.126,0.6947,-0.687,1.3206,-0.1265,0.4661,-0.1221,1.7634,-1.7176,1.5802,-0.156,0.4978,-0.0593,1.0992,-2.771,1.4656,-0.2002,0.5366,-0.05,2.4427,-7.2672,4.229,-0.3062,0.4978,0.0127,1.1832,-11.5573,3.5878,-0.2676,0.4487,-0.0137,1.2748,-17.5344,6.9466,-0.3931,0.5554,0.0591,2.7863,-26.7328,14.6031,-0.4666,0.3481,0.0815,11.771,-40.5038,8.8931,-0.4214,0.1343,-0.3108,17.2595,-37.2672,8.2137,-0.2742,0.2974,-0.7661,13.0382,-21.1985,10.3359,-0.0667,0.2446,-0.8652,6.5191,-7.3511,4.5038,0.156,0.2429,-0.8037,-3.1908,2.374,-1.5802,0.0986,0.3291,-0.5686,-4.5954,4.9542,-3.0382,0.0054,0.417,-0.4387,-3.313,6.313,-0.2748,-0.0374,0.4302,-0.4185,-5.3588,9.0382,-1.5496,0.0229,0.4114,-0.4561,-6.2672,12.2366,-1.3282,-0.0234,0.3899,-0.3989
-0.2977,0.4427,0.3511,-0.0334,0.4929,-0.1062,-0.1374,0.4046,0.1832,-0.0417,0.4888,-0.0806,0.2214,-0.0992,0.2977,-0.063,0.4688,-0.0688,-0.0458,-0.5878,-0.0076,-0.0867,0.4641,-0.0537,-0.4427,-1.6947,-0.6107,-0.1348,0.498,0.0012,1.3435,-6.2061,0.542,-0.2874,0.5188,0.1897,2.5344,-13.0992,2.8473,-0.3479,0.4919,0.1714,1.4962,-21.2061,5.145,-0.3457,0.532,0.0889,12.6412,-29.2977,0.7023,-0.491,0.1165,0.0051,14.7939,-34.8702,8.1374,-0.3489,0.342,-0.3809,14.4198,-27.8931,5.9237,-0.2158,0.3062,-0.6221,13.626,-23.0992,4.1756,-0.0691,0.1567,-0.6985,6.8321,-7.374,0.1069,0.1101,0.4072,-0.8569,-1.9924,4.9924,-2.4809,0.0725,0.4448,-0.6111,-4.2748,7.1374,-1.2443,-0.0396,0.4346,-0.3809,-4.4351,7.0763,0.5954,-0.0432,0.5015,-0.3877,-7.4198,10.7176,-0.9924,-0.0049,0.4417,-0.4507
1.7786,-0.6489,-0.9008,-0.1255,0.4634,-0.0571,1.9084,-0.771,-1.8244,-0.1311,0.459,-0.0979,1.2824,0.6565,-2.8092,-0.1938,0.5266,-0.0403,3.7634,-6.5191,2.626,-0.4397,0.6304,0.1948,5.3893,-15.5878,9.6565,-0.4082,0.4644,0.0662,10.3969,-21.7176,18.0992,-0.4399,0.5256,-0.0066,4.084,-28.2061,14.2672,-0.3059,0.3499,-0.2786,6.0916,-26.0458,9.6107,-0.2305,0.2351,-0.3005,11.0153,-24.374,8.4809,-0.1101,0.2271,-0.4873,8.0305,-19.374,1.0382,-0.0764,0.2756,-0.4709,4.5344,-13.5267,-0.8397,0.0867,0.2673,-0.6169,3.0153,-4.9084,-1.0687,-0.0276,0.4497,-0.4783,0.1221,-1.8244,-0.1908,-0.0234,0.4438,-0.4614,-0.5191,1.1374,-0.0534,0.0083,0.397,-0.428,-1.3359,3.1374,-0.3893,-0.0176,0.4233,-0.4131,-2.7023,5.7328,-0.0382,-0.0249,0.426,-0.457,-4.8321,10.3282,-0.3053,-0.0244,0.4202,-0.4963
0.1679,1.8397,-0.0076,-0.074,0.5032,-0.126,-0.7405,2.0458,-0.5802,-0.0559,0.4807,-0.0833,0.9695,1.5115,-0.2977,-0.1545,0.5264,-0.0164,4.8092,-3.7634,5.1908,-0.3843,0.5767,0.2268,6.0992,-12.8168,8.4275,-0.4177,0.5161,0.1375,1.7481,-20.3053,8.1679,-0.386,0.4546,-0.031,3.9466,-23.5115,8.0076,-0.3613,0.4207,-0.2622,8.9084,-25.3969,9.6947,-0.2988,0.2058,-0.3101,13.7863,-23.7099,4.7863,-0.1443,0.2007,-0.5088,15.3664,-17.2672,5.1527,-0.0891,0.2705,-0.5723,11.3588,-13.3359,3.3664,0.0811,0.3059,-0.6541,-0.8092,-1.7176,-4.4275,0.1401,0.3464,-0.615,-1.6641,0.4656,-2.1832,-0.0425,0.4275,-0.4395,-2.9771,3.229,0.2595,-0.0095,0.4722,-0.4971,-5.0458,5.3664,2.8168,-0.0034,0.4385,-0.4871,-7.8092,10.2061,1.9084,0.0105,0.4038,-0.4966,-10.6489,15.0916,-0.6336,-0.0569,0.3948,-0.4136
