0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1.9389,0.1298,0.1221,-0.0742,-0.0569,0.4685,0.0153,0.1069,0.1298,-0.0718,-0.0571,0.4746,0.0229,0.1221,0.1221,-0.071,-0.0603,0.467,0.0153,0.1145,0.1374,-0.0732,-0.0571,0.4707,0.0229,0.1298,0.1374,-0.0728,-0.0571,0.4609,1.9389,0.1145,0.145,-0.0701,-0.0515,0.4658,0.0229,0.1069,0.145,-0.0701,-0.0549,0.457,0.0229,0.1145,0.145,-0.0767,-0.0474,0.467,0.0076,0.1221,0.1679,-0.0676,-0.0583,0.4631,-0.0076,0.1145,0.145,-0.0718,-0.0532,0.467,0.0,0.1221,0.1145,-0.075,-0.0564,0.4631,0.0229,0.1221,0.1603,-0.0664,-0.0596,0.4761,0.0229,0.1298,0.1145,-0.0747,-0.0547,0.4724,0.0229,0.1069,0.1756,-0.0674,-0.0623,0.4651,0.0153,0.145,0.145,-0.0742,-0.0537,0.4631,-0.0076,0.1298,0.145,-0.072,-0.0557,0.469,-1.9542,0.1221,0.145,-0.0691,-0.0535,0.4556
-2.3282,-21.9695,-9.2901,0.0161,0.0366,0.3362,-7.5496,-21.916,-10.0916,0.144,0.0417,0.0798,-6.2595,12.7328,5.6412,0.2134,0.0588,0.019,5.4504,34.2901,18.6794,0.0342,0.0684,0.4102,8.6336,22.4656,6.0687,-0.3159,-0.6057,1.25,-4.4427,-21.1145,-6.5496,-0.0847,-0.0996,0.6702,-10.2595,-23.0916,-10.2366,0.1028,0.0623,-0.0276,2.1069,4.6412,2.2443,0.1743,0.0225,0.2388,5.5725,19.313,10.145,0.0769,0.0146,0.0652,5.145,6.3817,2.4962,-0.303,-0.2393,1.4905,-4.5267,-9.8092,-5.0458,-0.0938,-0.168,0.8057,-7.5725,-18.4733,-10.0611,0.136,0.0156,0.1064,-1.4275,-1.4809,0.4427,0.1621,-0.0217,0.2793,5.5802,8.2595,5.084,0.1326,-0.0703,0.1626,13.0763,29.4504,11.9008,-0.022,-0.1033,0.4438,-1.626,-12.3817,-5.6489,-0.1665,-0.3093,0.8838,-3.1603,-2.771,-1.7328,-0.0103,-0.1208,0.6621
-31.5267,18.6641,-1.3511,-0.2759,-0.7278,1.4697,10.855,-11.3511,-3.9466,0.0562,0.0591,0.228,0.2901,-0.6336,0.4962,0.0732,-0.0044,0.3132,-4.9313,5.916,2.7405,0.0872,0.001,0.311,-11.1145,3.5496,-3.2519,-0.1289,-0.3813,1.0088,8.8015,-10.4809,-2.2443,0.0498,0.0225,0.3044,2.7557,-2.1832,0.084,0.0808,0.009,0.2969,-6.4198,10.6412,4.229,0.0725,0.012,0.3264,-16.9618,11.6794,-0.855,-0.1035,-0.375,0.9197,7.4504,-10.6947,-3.9924,0.0085,-0.0393,0.3772,9.2672,-11.2214,-2.2748,0.0447,-0.0671,0.4736,-1.9008,5.2137,2.5344,0.1294,0.1028,0.1355,-8.9084,14.5573,4.1221,0.0227,-0.0691,0.4575,3.1221,-5.5038,-2.7252,-0.1008,-0.2556,0.821,4.6489,-6.542,-1.6107,0.0129,-0.0803,0.4966,1.8397,-0.8244,0.7252,0.0813,0.0264,0.2629,-5.3206,8.2061,3.1603,0.0598,-0.0354,0.387
0.3359,3.626,0.1679,-0.4014,-0.032,0.2473,-0.0076,1.1679,0.0992,-0.406,-0.0632,0.189,0.3206,2.3206,0.3969,-0.4163,-0.0432,0.2908,0.7481,2.2519,1.8473,-0.4568,-0.0259,0.3059,1.0076,-5.0305,0.0305,-0.4895,-0.0134,0.3904,1.3206,-10.7099,2.9542,-0.4617,-0.0208,0.3474,1.687,-12.3359,2.8702,-0.4348,-0.0281,0.3662,-0.0611,-13.7557,2.7634,-0.406,-0.0203,0.3853,0.0611,-14.5878,0.7786,-0.3271,0.0017,0.3376,-0.229,-12.5649,2.2137,-0.2788,-0.0073,0.4165,-1.3053,-15.4733,1.8473,-0.2227,0.0027,0.4177,-1.5344,-12.8092,2.8779,-0.1716,-0.0051,0.4175,-1.4504,-13.8931,0.6031,-0.1104,-0.04,0.4297,0.0458,-13.8397,0.2901,-0.1187,-0.0352,0.49,-1.0611,-20.2595,-1.0458,-0.0764,0.0117,0.5415,-2.1908,-25.3817,-1.0916,0.0432,0.0139,0.3728,-2.2672,-22.1985,-0.855,0.2126,-0.1497,0.2163
0.2672,2.4504,0.8092,-0.3833,-0.0205,0.3328,1.2061,-0.6718,0.6489,-0.4072,-0.0103,0.343,1.4809,-3.2061,1.6412,-0.4241,0.0151,0.3813,1.0305,-7.8931,0.9237,-0.4207,-0.0498,0.3972,1.2672,-8.5954,1.4351,-0.3535,0.0317,0.3411,0.5496,-7.9084,0.6412,-0.3413,-0.012,0.4067,-0.4122,-11.4733,2.4198,-0.3279,0.0471,0.4609,0.3206,-13.0763,1.8779,-0.2656,0.0291,0.3784,-0.626,-13.4885,3.4733,-0.2422,-0.0051,0.4929,-3.4427,-17.4809,4.145,-0.1628,0.1499,0.3914,-2.3435,-14.8931,3.5115,-0.0728,-0.1321,0.3955,-3.3817,-9.3893,2.5344,-0.0493,0.0066,0.426,-2.4351,-15.2061,3.1221,-0.0479,-0.0503,0.5566,-2.458,-17.6947,0.687,0.0422,-0.03,0.4358,-2.0687,-16.5344,1.7557,0.1458,-0.082,0.3608,-4.145,-14.5267,0.6107,0.2415,0.0022,0.2959,-1.7939,-9.1603,0.4885,0.313,-0.062,0.2258
0.2366,-4.2366,0.084,-0.4465,-0.084,0.3342,0.2137,-4.7328,1.2061,-0.408,-0.0129,0.2446,1.458,-3.4122,2.2366,-0.4312,-0.042,0.3142,0.5038,-7.9084,1.2137,-0.4202,0.0205,0.3477,0.7481,-7.9847,2.626,-0.3977,-0.0852,0.3667,-0.1221,-10.9771,2.4962,-0.3684,0.0322,0.3628,-0.4504,-14.2595,2.2443,-0.3223,-0.0208,0.4187,-1.2901,-11.7557,3.3969,-0.2896,-0.0205,0.4221,-1.1069,-14.7939,2.2901,-0.2476,-0.0005,0.4521,-1.0687,-15.4962,2.8626,-0.1882,-0.0198,0.438,-2.2977,-15.9542,1.2901,-0.1377,-0.0356,0.4509,-2.2824,-19.8473,0.542,-0.0781,-0.0181,0.4695,-4.9084,-18.9084,0.9771,0.0029,-0.1199,0.4167,-8.8321,-18.1908,-0.5038,0.1362,0.0002,0.3132,-5.7328,-12.2824,4.1145,0.2004,0.0037,0.302,-2.7405,-13.916,3.6718,0.2686,-0.0806,0.2314,-4.2977,-4.1679,0.0305,0.3728,-0.167,0.1321
-0.8702,0.6183,2.3893,-0.4631,-0.0166,0.3411,0.6794,-6.9924,-0.2672,-0.4441,-0.0513,0.334,1.3511,-6.8473,2.374,-0.4351,-0.104,0.3301,0.7939,-9.374,0.7481,-0.3689,-0.0081,0.2856,1.6412,-7.542,1.4962,-0.3196,-0.0493,0.2808,1.0,-5.6183,2.2901,-0.3164,-0.0437,0.429,-0.8855,-7.9237,2.5344,-0.325,0.0051,0.3669,0.1069,-9.5878,1.5725,-0.3052,-0.0251,0.3989,-0.229,-10.9618,0.9389,-0.2534,0.009,0.4443,-0.3053,-9.9771,2.7939,-0.2288,-0.0312,0.4358,-1.0992,-14.1374,0.9237,-0.1985,0.0303,0.4949,-1.1603,-11.6565,1.7939,-0.1531,-0.0576,0.4976,-2.2901,-16.5038,1.8626,-0.1033,0.0486,0.4707,-2.2595,-15.916,1.5649,-0.0188,-0.0793,0.46,-2.2137,-15.8702,2.6947,0.0264,-0.0322,0.4712,-4.3588,-18.0458,0.4809,0.1147,-0.0679,0.4255,-1.2977,-18.6489,0.7176,0.1987,-0.1213,0.2979
0.7634,1.7176,-0.0916,-0.3992,-0.0588,0.2727,0.3435,-0.2061,0.3053,-0.4187,-0.0449,0.2834,2.3893,3.7939,0.2748,-0.4072,-0.0161,0.1936,2.9847,0.7557,3.4656,-0.5376,0.0012,0.4399,2.4809,-14.7099,0.7786,-0.5076,-0.0171,0.4133,2.0458,-12.7863,1.916,-0.4016,-0.0283,0.2891,2.313,-13.6794,0.9237,-0.3733,-0.0322,0.3396,0.9618,-11.7252,0.2214,-0.3228,0.0215,0.3835,-0.916,-14.6336,2.1374,-0.3562,0.0498,0.5352,-5.1145,-18.8244,2.5802,-0.2903,0.1116,0.4346,-3.1374,-23.7252,5.2061,-0.2583,0.0525,0.4905,-4.6794,-28.0534,1.4809,-0.1233,-0.0691,0.3782,-3.7786,-21.2977,2.3664,0.0076,0.0371,0.3318,-2.4351,-24.5725,-0.2061,0.1135,-0.1191,0.3477,-4.3969,-21.374,1.5191,0.2219,-0.0142,0.26,-3.687,-15.5649,-0.4809,0.3577,-0.1311,0.1699,-0.7328,-8.9084,-1.084,0.4023,-0.1353,0.0657
1.0229,-1.3893,-0.1985,-0.3818,-0.0583,0.2532,0.0534,6.6794,3.313,-0.3975,-0.0474,0.2534,0.7634,0.7328,0.7023,-0.4348,-0.1033,0.4001,1.6794,-5.4885,1.8779,-0.4768,-0.0198,0.3916,1.3206,-13.0305,2.1679,-0.4519,-0.0571,0.3704,1.6183,-12.0763,2.4733,-0.4023,-0.0256,0.3323,0.8779,-16.1679,2.9695,-0.3599,-0.0127,0.4292,1.2214,-17.3817,1.9771,-0.269,-0.0173,0.3289,1.9542,-12.687,0.7939,-0.2,0.0073,0.3896,-0.4046,-14.2901,1.8015,-0.1597,0.0017,0.4851,-1.4351,-12.4504,1.5573,-0.0916,0.0522,0.4104,-0.8321,-13.4275,3.4122,-0.0771,0.0461,0.5315,-3.3511,-18.5878,2.7939,-0.0574,0.0242,0.521,-3.0534,-21.0534,1.0992,0.0337,0.0024,0.3962,-5.0611,-22.2519,1.084,0.1006,-0.1035,0.394,-3.8473,-24.3588,2.0229,0.2322,-0.0315,0.2434,-2.6489,-18.4427,-2.4122,0.3799,-0.1692,0.0244
1.1374,6.7634,0.2137,-0.3801,-0.0149,0.3252,1.5191,3.8855,2.3511,-0.5046,-0.0093,0.489,1.2061,-13.9466,0.1145,-0.4568,-0.0835,0.5256,-0.2748,-12.5191,-1.7557,-0.3784,-0.0845,0.3264,1.8244,-15.8321,-1.4809,-0.3142,-0.0176,0.3823,-0.771,-14.3206,0.3206,-0.261,0.0024,0.429,-0.3588,-14.7023,0.1832,-0.1631,-0.0398,0.3665,-0.7557,-9.1527,0.6794,-0.104,-0.0544,0.4041,0.2748,-11.6718,0.9466,-0.0864,-0.0037,0.4824,-1.2214,-10.3664,2.6565,-0.0515,0.0242,0.4756,-1.1145,-12.8244,1.3893,-0.0173,0.0159,0.4932,-0.8168,-17.5573,1.2672,0.032,-0.1101,0.5291,-1.4504,-14.7252,2.8855,0.1194,-0.0298,0.4214,-3.3206,-13.7634,-5.9084,0.1616,-0.2185,0.3801,-1.916,-16.4962,0.374,0.1641,0.1182,0.4468,-2.2443,-20.6489,-4.374,0.3074,-0.1379,0.1877,-2.0687,-16.6107,-2.7863,0.3894,-0.1174,0.0847
0.0992,1.0687,0.5573,-0.418,-0.0681,0.2966,0.9847,-0.8473,1.3817,-0.4714,-0.0718,0.3589,1.8244,-6.8092,0.1603,-0.4229,-0.0645,0.2795,1.687,-4.5038,1.3206,-0.4133,-0.0898,0.3616,2.2977,-8.3588,0.2977,-0.4207,-0.0615,0.3062,1.3511,-9.313,0.9695,-0.3965,-0.001,0.4441,0.313,-17.5344,1.5115,-0.3745,-0.022,0.4419,0.4962,-14.8168,0.4733,-0.2695,-0.0442,0.3293,-1.1069,-17.9695,1.0076,-0.2383,-0.0308,0.4751,-2.0916,-14.7634,2.5115,-0.1465,0.022,0.4011,-1.4733,-16.084,2.5649,-0.1016,-0.0159,0.436,-0.9542,-13.8321,2.229,-0.0481,-0.041,0.4719,-2.8092,-17.6107,2.7634,-0.0066,-0.0625,0.5024,-2.3893,-19.6641,3.5038,0.0684,-0.0579,0.4512,-3.3817,-20.145,1.2672,0.1277,-0.1702,0.4402,-3.0229,-21.3053,1.7023,0.2598,-0.0591,0.2314,-2.1679,-15.0,-2.8931,0.3779,-0.1306,0.1125
