0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0.2672,-2.3206,0.2901,0.071,0.4985,-0.0935,1.2824,-7.0382,0.7176,0.0381,0.4724,-0.0559,0.1374,-18.5649,-1.3893,-0.0728,0.4673,-0.1069,-3.6336,-20.7939,0.0382,-0.0525,0.5178,-0.6055,-5.0076,-2.8702,2.458,-0.1052,0.5383,-0.9614,-6.145,31.4351,4.1679,-0.166,0.531,-1.2673,-7.3817,67.5267,5.8473,-0.761,0.3176,-1.1482,-7.6565,110.5038,3.5267,-1.8086,0.283,-1.3496,-8.1832,116.1069,8.7328,2.0,0.5593,-0.2639,-13.5344,37.1908,4.5725,-1.4434,0.0483,0.9182,0.2824,23.8473,5.3969,-0.8108,0.2698,0.905,-0.3664,5.6031,-5.5038,-0.5647,0.2744,0.7808,3.3359,-7.7939,-2.2748,-0.2878,0.4287,0.3533,4.5115,-11.5496,-1.6031,-0.1582,0.4966,0.2019,3.9542,-11.1603,0.7557,-0.1265,0.5442,0.1099,3.6794,-11.4427,2.5725,-0.1191,0.4922,0.1387,1.626,-13.3664,0.9084,-0.136,0.4084,0.1931
1.9466,-0.0153,0.5191,0.0557,0.4893,-0.1655,-0.0916,-0.0611,0.8855,0.0618,0.4797,-0.1392,-0.0458,-0.0687,0.5649,0.0681,0.4834,-0.1477,0.2519,-0.5038,0.3206,0.0696,0.481,-0.1296,0.4427,-1.0611,-0.0611,0.0618,0.4761,-0.1482,1.0153,-3.7557,1.9466,0.0344,0.4541,-0.1316,3.7176,-8.6794,-1.1069,-0.0366,0.4307,-0.3777,-0.0229,-7.0687,0.5344,-0.1555,0.4563,-0.9521,-6.3893,41.0,1.0076,-0.1455,0.5952,-1.4993,-10.0763,75.1145,-1.8626,-0.8845,0.3433,-1.2319,-12.374,109.2901,4.3282,-1.9292,0.2319,-1.1331,-15.0611,114.7481,10.9237,2.0,0.4753,-0.3772,-17.542,30.9008,12.5496,-1.3379,0.3032,0.5967,1.374,20.8321,5.5496,-0.8108,0.2808,0.7695,1.0534,-1.7023,-3.4656,-0.4841,0.2502,0.5972,1.8473,-9.5878,-4.2519,-0.2214,0.3838,0.3337,4.6489,-13.7405,-2.3969,-0.1187,0.5056,0.1536
-2.8321,-3.0458,3.6489,0.1018,0.4221,-0.2188,0.5725,-1.626,2.6947,0.1226,0.4219,-0.1987,1.5649,-3.3817,0.8626,0.1082,0.4316,-0.1455,0.4733,-5.1832,1.0687,0.0928,0.4395,-0.1653,1.3664,-8.4046,1.2214,0.0757,0.4319,-0.1614,0.0,-12.9389,2.4733,0.0254,0.5308,-0.2185,-1.3053,-16.5878,5.0,-0.0559,0.5083,-0.4385,-4.5344,-3.9237,3.4427,-0.0198,0.2998,-0.9539,0.6947,27.7481,-7.1145,-0.3357,0.2275,-1.156,-6.8397,75.1145,-11.7328,-0.9045,0.4207,-1.709,-9.0687,122.2214,-14.3282,2.0,0.1848,-1.5542,-17.0534,107.4656,3.4885,2.0,0.4822,-0.2773,-11.2595,58.8168,5.8321,-1.949,0.48,0.8794,0.1374,29.2901,6.7557,-1.0276,0.314,0.99,-3.6489,4.542,-3.9924,-0.5981,0.2656,0.7673,-0.7405,-13.0,-3.458,-0.4072,0.4248,0.4143,3.5267,-19.9084,-1.626,-0.3169,0.4385,0.3191
-0.3511,0.1679,0.1832,-0.0522,0.5049,-0.1023,0.3893,-0.1527,-0.1603,-0.0217,0.4702,-0.0713,0.3359,-1.0076,-0.7176,0.054,0.5151,-0.2139,2.7634,-0.1756,1.2366,0.113,0.5356,-0.2949,1.6489,3.542,3.855,0.2146,0.4844,-0.551,2.3282,11.1908,1.6336,0.1411,0.3777,-0.5964,2.542,17.3053,-0.0076,0.0356,0.3328,-0.6313,-1.5878,32.1527,-10.2824,-0.1687,0.27,-0.7942,2.0916,40.1069,-10.0992,-0.3533,0.0911,-0.7917,-2.5191,45.1527,-21.7023,-0.7717,0.1252,-0.6072,-0.3588,36.0611,-16.3664,-1.1448,0.3611,0.2913,-3.6794,23.0305,-17.7557,-0.7502,0.6921,0.1675,-14.1221,14.3588,-16.458,-0.5486,0.4817,0.1196,-0.458,2.6107,-5.9771,-0.4932,0.5029,0.175,0.5115,-2.0687,-0.7328,-0.3569,0.5315,0.0173,0.0153,-4.2519,1.9847,-0.2576,0.4753,-0.031,2.374,-4.6565,2.8931,-0.1821,0.4734,-0.1841
0.145,0.1756,0.0382,0.1094,0.3501,-0.3787,-0.1603,-0.1756,-1.9542,0.124,0.3445,-0.3494,0.0916,-2.0611,0.1298,0.1562,0.3503,-0.4038,-3.5115,-4.542,3.0534,0.2512,0.354,-0.6726,-4.3359,6.6794,2.1069,0.3279,0.1655,-0.7905,-8.5038,13.3053,-1.3206,0.2788,0.0869,-1.0461,-0.8168,36.6565,-14.4275,0.0029,-0.0847,-0.9307,-4.8931,52.4733,-26.9389,-0.3992,0.0129,-0.8433,-3.1679,79.3282,-43.0458,-0.8726,-0.0806,-0.9021,-9.1298,64.9847,-33.4351,-1.3757,0.3679,-0.1804,-2.0763,43.9389,-23.6794,-0.9819,0.3118,-0.0259,1.2137,18.4733,-7.7557,-0.8474,0.4072,0.2947,3.6718,2.626,-3.9466,-0.5789,0.5242,0.1338,5.3359,-5.0305,1.9313,-0.4055,0.4749,-0.0378,2.4427,-5.4809,2.0458,-0.4216,0.6873,-0.0845,-0.313,-9.7405,10.1374,-0.5535,0.5298,-0.063,-1.626,-22.2366,15.6183,-0.7388,0.5154,0.0532
-0.8473,2.4275,0.3359,0.1233,0.2964,-0.3865,0.2748,1.6641,-0.7099,0.0769,0.3157,-0.3157,-1.3359,-0.4809,-0.458,0.0681,0.3564,-0.2881,-1.687,-3.2366,1.6718,0.1614,0.3826,-0.4402,-8.3359,-2.7405,3.3893,0.5137,-0.1172,-1.2097,2.313,30.7786,-17.4122,0.1443,-0.074,-1.0073,-6.2595,43.3282,-28.3359,-0.084,0.0549,-1.0217,-10.0153,60.8244,-38.6718,-0.572,-0.1865,-0.9131,-14.313,80.5573,-54.2214,-1.3093,-0.1143,-0.9248,-13.2901,39.2137,-19.1603,-1.2795,0.302,0.3218,-2.687,21.3817,-14.2137,-0.7288,0.3801,0.0562,4.1756,9.9847,-4.771,-0.6504,0.4216,0.1599,0.3435,-0.3893,0.7328,-0.6328,0.6995,0.0693,0.7176,-13.3817,10.0916,-0.7104,0.5627,0.0525,-0.4198,-27.6947,20.5496,-0.7754,0.4988,-0.0339,2.0992,-39.6565,28.0382,-0.7202,0.2791,-0.1709,6.8092,-50.7634,33.9924,-0.6399,0.1331,-0.4836
-4.9542,39.1069,-20.3511,-0.1326,0.1077,-0.9453,-13.4427,63.4809,-33.8931,-0.4724,-0.1001,-0.905,-10.7099,82.9695,-45.4656,-1.3228,-0.0686,-0.7246,-13.9924,54.542,-27.5802,-1.1975,0.2068,0.0586,0.5115,37.084,-17.6565,-0.8879,0.3047,0.0317,1.7023,8.374,-5.7786,-0.906,0.4736,0.2517,1.5649,-2.0305,2.2519,-0.7415,0.5337,0.0518,1.8855,-16.7786,12.3511,-0.7991,0.5249,0.0432,2.9924,-32.5496,21.7099,-0.8071,0.334,-0.082,6.6489,-46.8702,31.4427,-0.8572,0.2351,-0.2429,10.1908,-59.4809,40.7328,-0.8291,0.0591,-0.5066,7.8092,-69.6947,37.8473,-0.7805,-0.2109,-0.906,8.6794,-55.1908,32.4122,-0.2771,-0.113,-1.1899,5.9618,-26.5802,22.0687,0.0615,-0.1104,-0.9863,0.3511,-17.5954,4.5496,0.3149,-0.1934,-0.8733,3.6718,-7.4962,-5.8626,0.3914,0.0481,-0.7947,3.7786,-2.7023,-4.6947,0.2947,0.3669,-0.7114
-4.4809,37.313,-22.4046,-0.2273,-0.0576,-0.9248,-15.084,59.0992,-37.6183,-0.5801,-0.1418,-0.9817,-7.8931,83.8092,-49.145,-1.333,-0.1353,-0.8767,-7.8931,49.8626,-20.7634,-1.4031,0.4067,0.1741,-0.9313,34.2214,-19.3206,-0.8137,0.3633,-0.0439,3.8931,17.5649,-3.1679,-0.7458,0.4775,0.2268,-0.6031,3.6031,-4.5191,-0.6426,0.6638,0.083,1.4809,-9.1985,9.4885,-0.6255,0.6008,0.1221,-2.3053,-21.2137,12.9313,-0.6841,0.5994,-0.0386,-1.1298,-30.3969,21.8168,-0.7556,0.4204,-0.0815,3.4275,-43.0534,32.145,-0.8022,0.2893,-0.2261,6.1221,-55.7786,35.7099,-0.676,-0.0239,-0.5654,4.6718,-57.3359,29.8931,-0.448,-0.167,-0.7649,4.4198,-46.313,18.7176,-0.1289,-0.1392,-1.0134,6.0534,-26.0992,12.3511,0.1687,-0.0493,-1.0657,1.0458,-6.7023,-1.0076,0.4285,-0.0088,-0.8904,4.4275,-2.2137,-6.6107,0.2434,0.281,-0.5327
-7.2672,-1.855,6.0763,0.3325,0.113,-0.9531,-6.9008,11.145,-2.2366,0.2476,-0.2051,-1.1348,-6.5573,34.1527,-18.0611,-0.1755,0.0073,-1.0737,-20.2443,55.2595,-28.0076,-0.5261,-0.0425,-1.0408,-13.0611,90.1145,-45.1298,-1.1621,-0.4094,-1.1277,-15.7252,65.4656,-24.4275,-1.8728,0.5293,0.1755,-2.8626,39.3664,-21.7023,-0.8782,0.1113,-0.012,1.3969,17.7176,-7.7557,-0.843,0.3772,0.3511,2.7557,2.374,-3.9618,-0.6543,0.5918,0.0825,1.626,-6.7634,6.6489,-0.6719,0.6277,0.1235,1.7328,-22.7939,13.855,-0.7075,0.5234,0.0017,0.7176,-32.6412,20.6947,-0.7019,0.406,-0.145,3.1374,-44.6183,28.5038,-0.7388,0.3113,-0.2205,10.1298,-54.6565,35.9389,-0.6804,0.0537,-0.4922,7.1832,-57.0534,32.7863,-0.4919,-0.1208,-0.7791,7.8702,-44.9847,21.7252,-0.1394,-0.1245,-0.9163,7.458,-28.0687,14.8244,0.1121,-0.0303,-0.9832
-5.3053,9.8779,-3.1985,0.3015,0.0884,-0.8091,-9.7481,17.0687,-9.3435,0.1946,-0.0371,-0.8396,-12.1832,33.6565,-21.626,-0.0066,-0.0461,-0.9822,-22.8855,57.0763,-37.4656,-0.4106,-0.2341,-1.0178,-14.3206,90.6641,-50.7634,-1.2097,-0.4038,-1.1155,-16.6412,57.4351,-28.4733,-1.5447,0.2224,0.1199,-2.4275,27.6489,-16.9084,-0.9622,0.3525,0.0703,-6.1527,7.7481,-9.0611,-0.9734,0.4746,0.2654,1.3435,-3.0076,6.1069,-0.6938,0.5315,-0.0464,1.8092,-18.5573,11.6031,-0.7754,0.5125,0.0654,2.4275,-31.3206,24.374,-0.7903,0.3792,-0.1147,8.7557,-46.1298,34.4198,-0.7812,0.2429,-0.2429,11.229,-54.3511,35.7252,-0.6206,0.0137,-0.5366,9.9771,-53.1832,34.6718,-0.3926,-0.0471,-0.731,8.6794,-41.2901,23.0305,-0.0366,-0.1111,-0.8306,5.5954,-24.2137,13.0,0.2046,0.0161,-0.8623,4.3206,-14.4656,6.0305,0.2585,0.0476,-0.6855
