0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0.0687,0.4809,0.1374,0.3596,-0.0671,0.3127,0.0763,0.0229,-1.9466,0.3506,-0.0588,0.3228,0.1527,0.5191,0.2443,0.3579,-0.061,0.3127,-0.2977,0.0,-1.9466,0.3726,-0.0476,0.3066,-0.145,0.5267,0.2214,0.3535,-0.061,0.311,-0.0763,-0.0229,0.1298,0.3508,-0.062,0.3132,0.1985,0.8321,0.4275,0.3521,-0.0559,0.2683,0.9542,2.5267,1.5573,0.3289,-0.0771,0.0581,5.6947,22.4198,0.7557,0.1265,0.0842,-0.2876,-1.6947,29.0763,5.3817,-0.0159,0.0906,-0.1294,-1.4733,37.4885,6.6031,-0.2285,-0.1074,0.1448,1.8244,27.5191,10.374,-0.4778,0.1133,0.6006,6.6489,40.4275,10.2443,-0.3674,-0.146,0.2783,-1.2443,39.2137,3.3893,-0.6404,-0.0374,0.3533,-11.9695,33.1145,0.855,-0.8518,-0.0347,0.3877,0.084,9.3435,0.3282,-0.9329,0.0549,0.6934,-4.0611,0.2061,-3.9008,-0.6775,0.032,0.3154
0.4427,-0.1756,-0.1908,0.3167,-0.0247,0.3523,0.1756,0.3282,-0.0305,0.3074,-0.0029,0.3674,0.084,-0.3053,0.3206,0.3145,-0.0359,0.3538,-0.313,0.0,0.1679,0.3086,-0.0168,0.3677,-0.3817,0.1374,0.2061,0.3086,-0.0291,0.3533,0.1145,0.8244,0.6183,0.311,-0.0188,0.2837,-0.3053,2.0687,0.9084,0.2812,-0.0171,0.1064,-4.1298,30.2366,3.0763,0.2595,0.1233,-0.4014,1.5496,33.2519,9.6794,-0.1348,0.0474,0.0488,-6.6947,33.0305,9.4427,-0.3191,-0.0671,0.2761,-4.3511,28.2824,8.1832,-0.4214,-0.1182,0.3655,-2.9389,23.2901,9.2901,-0.4277,-0.0181,0.3293,4.1908,30.1527,7.9847,-0.5793,-0.1562,0.3308,1.8473,27.8244,3.3435,-0.6294,-0.054,0.2312,-1.7405,19.313,-0.7023,-0.8162,-0.2412,0.6106,-0.0687,2.8092,-0.5649,-0.7761,0.0156,0.4448,1.6718,-0.771,-2.1985,-0.5615,-0.0945,0.1743
0.4427,0.9466,-0.2672,0.4622,-0.0413,0.0256,-0.9389,-0.1527,0.9466,0.5044,-0.0278,-0.0161,0.1374,-0.0382,0.3053,0.499,-0.0447,0.033,-0.4733,-0.9389,-0.2214,0.5125,-0.0886,0.0015,0.1908,-0.0458,-0.6183,0.5034,-0.0552,0.0193,1.2137,-0.5725,-1.2824,0.4771,-0.0427,0.0945,-1.1756,-4.0916,-1.6947,0.4478,-0.0049,-0.1782,-1.8779,28.5878,-4.2137,0.1362,0.0466,-0.9316,-4.1985,70.0,19.0382,-0.4124,0.4961,-0.7363,-3.8015,70.7023,24.2519,-0.8545,-0.0298,-0.2273,-0.6183,67.7252,25.145,-1.0632,-0.4067,0.1843,-5.7939,45.8321,14.8244,-1.0928,-0.1692,0.6362,3.5038,32.6718,12.5725,-0.9736,-0.0127,0.2881,2.3359,37.9771,15.4656,-1.1855,0.0234,0.3105,-18.9771,-9.5573,-0.8473,-1.1746,-0.3501,0.5327,2.2748,7.084,-3.0229,-0.6123,0.0679,-0.093,2.771,1.3359,3.0382,-0.541,-0.0273,-0.0291
-3.145,-2.2519,-0.9847,0.0562,-0.103,0.4502,-3.5725,-2.4427,-1.6336,0.0686,-0.1016,0.4241,-5.6107,-5.084,-3.2366,0.0747,-0.1504,0.5142,-3.6183,-6.0382,-2.1145,0.1106,-0.1252,0.4197,1.3664,-9.0458,-1.6489,0.1321,-0.0991,0.3235,6.9695,-8.1374,-0.3053,0.1211,-0.136,0.1316,5.9695,5.7786,-3.9084,0.1172,-0.0034,-0.2954,10.2748,16.916,-0.1603,-0.0027,0.1201,-0.2217,14.0611,34.6794,2.9313,-0.2585,0.0535,-0.0012,8.7557,31.0763,0.855,-0.4224,0.2129,0.3145,2.7634,32.6412,-2.5038,-0.6082,0.2358,0.3889,9.0763,34.8702,4.2977,-0.7361,0.2654,0.5225,5.1145,22.771,4.5878,-0.4932,0.0513,0.4824,2.3511,26.0916,2.5649,-0.8845,0.2214,0.6443,3.4046,14.1527,4.5954,-0.5325,0.3042,0.2524,11.4275,18.7099,2.8397,-0.7212,0.1079,0.3945,5.0687,-5.0687,3.1069,-0.6958,0.2458,0.2283
-6.2214,2.0763,1.6565,0.1309,0.1306,-0.0291,-13.0534,9.9618,3.5267,0.1001,0.0356,-0.2214,-13.4198,20.0687,4.1298,-0.1316,0.0266,-0.5408,3.9008,35.7786,9.2672,-0.5432,-0.0225,-0.3127,-16.145,41.3053,10.9695,-1.0596,-0.1118,-0.0137,-4.9389,44.0153,7.0382,-1.314,-0.3921,0.3315,2.2595,30.0458,1.5344,-1.3513,-0.4541,0.6655,-0.4122,14.4885,2.2214,-1.0283,-0.1292,0.5347,1.1374,6.3435,1.8779,-0.7734,-0.2947,0.5015,4.7252,-3.5573,1.771,-0.7468,-0.1182,0.4321,4.084,-8.6947,1.4733,-0.7803,-0.0486,0.3423,5.7557,-14.3664,1.5878,-0.8135,-0.0288,0.397,4.0076,-19.9771,2.0382,-0.8389,-0.0635,0.3213,5.0382,-22.6794,1.7099,-0.7563,-0.0542,0.1665,6.374,-23.4046,1.6183,-0.6963,-0.03,0.1284,6.9008,-21.687,3.2214,-0.5066,0.0366,-0.0063,0.7939,-18.4504,3.5267,-0.3831,-0.0171,0.1194
-7.5115,41.4351,7.313,-0.5723,-0.1194,-0.373,-13.9771,38.7176,5.0687,-1.0171,-0.3894,0.0222,-3.7557,30.2824,2.5267,-1.104,-0.2751,0.2031,1.1374,23.3893,4.1832,-1.1841,-0.3188,0.4441,-2.6565,13.3817,1.6718,-1.0476,-0.2405,0.6011,-2.6031,4.1145,-0.6183,-0.7903,-0.1753,0.4541,-0.1908,-1.8015,0.084,-0.6941,-0.1692,0.3972,3.1603,-7.0458,0.374,-0.6792,-0.1299,0.2869,3.3664,-10.6565,0.5725,-0.6826,-0.1006,0.2351,5.2748,-15.0763,0.9695,-0.7356,-0.1074,0.3054,3.313,-19.1374,0.5954,-0.7571,-0.0601,0.2678,5.0992,-21.1298,0.4198,-0.7722,-0.1011,0.29,4.3893,-23.1679,0.3511,-0.6741,-0.0671,0.2249,4.0,-22.4122,0.4046,-0.5798,-0.0952,0.2446,4.4885,-20.4122,0.5649,-0.4099,-0.0735,0.1411,4.2519,-16.0229,-0.458,-0.3044,-0.0491,0.2593,2.8015,-16.3359,-0.0458,-0.2581,0.0664,0.2722
-14.2901,22.9237,3.3893,-0.3877,0.0569,-0.0488,-11.4885,26.145,6.4122,-0.5999,-0.0962,-0.186,-7.7405,33.5038,10.084,-1.0457,-0.3154,0.2017,-13.7405,28.8473,7.9771,-1.1953,-0.4233,0.4807,-11.9084,24.145,2.8321,-0.959,-0.3855,0.2859,15.6107,12.7634,6.4427,-0.9714,-0.2832,0.7737,1.7176,7.8779,2.8244,-0.72,-0.3159,0.5583,1.5191,-0.8168,2.8244,-0.6809,-0.1387,0.3723,2.6107,-8.5878,1.145,-0.6921,-0.1953,0.3804,3.8779,-13.5649,-0.4198,-0.6973,-0.1814,0.2864,-0.626,-18.7481,-3.7786,-0.7207,-0.2295,0.2729,1.5191,-20.1985,-8.4962,-0.6104,-0.1448,0.0984,2.313,-19.0305,-5.4962,-0.6953,-0.1992,0.4873,10.9313,-21.4656,-3.6718,-0.5981,-0.1772,0.2253,10.9542,-20.4504,-2.0763,-0.522,-0.1104,0.2114,2.2824,-18.2519,-4.9237,-0.2817,-0.1846,0.1277,3.5649,-15.4275,-5.8015,-0.2625,-0.0254,0.2659
-4.2901,13.4351,5.4962,0.0881,-0.0051,0.0076,-3.9084,16.4733,2.3588,-0.0085,-0.053,-0.156,-7.8321,28.2366,3.5649,-0.2168,0.0452,-0.3638,-9.2137,41.0534,9.4656,-0.5889,0.0081,-0.2664,-9.5649,46.0382,11.3206,-1.0649,-0.1396,-0.0715,-6.5267,32.0153,3.6718,-1.2258,-0.3381,0.0911,-0.5038,25.5802,2.8779,-1.2598,-0.198,0.4065,-4.5344,18.7099,2.7176,-1.0771,-0.1838,0.4878,8.8015,8.2061,9.3969,-0.9009,-0.2451,0.5083,3.1985,-3.2901,2.0687,-0.759,-0.1787,0.3589,4.1832,-7.2977,1.4733,-0.6997,-0.1174,0.219,3.0076,-10.1679,-0.4351,-0.7439,-0.0696,0.2219,6.3282,-14.9008,-1.1527,-0.843,-0.0383,0.2693,5.6183,-20.5802,1.8855,-0.9402,0.0896,0.373,0.7328,-28.771,3.0,-0.9292,0.0183,0.1736,-0.9771,-29.6031,-0.6718,-0.8247,-0.1206,0.1931,1.0,-26.3817,-1.1221,-0.6216,-0.05,-0.0081
2.084,0.0687,0.2901,0.0898,0.0771,0.4316,-1.0076,0.1527,-0.4122,0.0862,0.0386,0.4419,-3.9084,0.7099,-0.4962,0.0718,0.0559,0.4683,-2.8931,0.313,-0.3969,0.0625,0.0337,0.4233,-3.8397,1.1985,0.2443,0.0662,0.0166,0.3467,-1.7786,4.5344,1.4733,0.1321,-0.0027,0.1306,-2.1985,10.5344,0.7481,0.084,0.0227,0.0481,-9.3053,15.4046,1.4962,0.0137,0.106,-0.1653,-5.1145,26.9847,6.3206,-0.1257,-0.0354,-0.4238,-14.9924,39.0763,3.7099,-0.6519,-0.1033,-0.3357,-16.2214,42.5878,2.4809,-1.082,-0.2314,-0.2297,-7.771,35.9008,0.8168,-1.353,-0.4058,0.2407,-8.4504,23.5954,3.6641,-1.2979,-0.323,0.5627,-1.0305,16.3664,4.9084,-1.0061,-0.3474,0.4814,2.8321,2.1908,4.4733,-0.8669,-0.2568,0.4529,1.7328,-0.0458,2.4122,-0.6763,-0.0442,0.1338,4.374,-14.2748,-1.2519,-0.7559,-0.2134,0.3533
-0.7328,0.8092,1.1527,0.0999,-0.0183,0.5132,-0.1679,0.1298,0.0916,0.1111,-0.0261,0.4578,0.7557,0.7176,0.2672,0.123,0.0166,0.4265,0.145,1.7634,0.4809,0.1287,0.0579,0.2781,-6.2519,5.5267,1.4504,0.1355,0.178,-0.104,-8.542,15.626,6.2214,0.1052,-0.0176,-0.3044,-1.4656,30.1832,4.4656,-0.1675,0.0178,-0.3459,-6.3282,32.3893,7.1069,-0.5305,-0.1235,-0.2139,-11.7786,39.229,6.1832,-0.9424,-0.2944,0.1257,-5.916,30.7939,2.1603,-1.0591,-0.3501,0.3074,-4.8626,26.687,2.7023,-1.1084,-0.1897,0.3801,1.9695,19.1221,4.2366,-0.9944,-0.0923,0.667,3.7176,6.7557,6.8092,-0.772,-0.1511,0.4014,-1.1221,3.4504,2.3511,-0.7463,-0.2678,0.488,4.7557,-5.1985,0.7863,-0.7512,-0.0898,0.4507,4.7939,-13.5725,1.2748,-0.825,-0.1665,0.5144,5.3511,-20.8168,0.9237,-0.8884,-0.0398,0.3958
